"","V162345","V162346","V162349","V162350","V162211","V162213","V162214","V162212","prejudice","deserve","tryhard","descrimination","lazy","peaceful"
"64",4,5,4,4,"3. Neither agree nor disagree","2. Agree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree",3,2,3,3,1,0
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2,2,1,3,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,0,2
"68",4,4,3,3,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",2,4,3,4,0,0
"69",5,6,4,7,"1. Agree strongly","4. Disagree somewhat","1. Agree strongly","5. Disagree strongly",1,4,1,5,1,3
"70",2,2,4,4,"3. Neither agree nor disagree","2. Agree somewhat","4. Disagree somewhat","1. Agree strongly",3,2,4,1,0,0
"71",4,7,4,7,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","2. Agree somewhat",2,4,2,2,3,3
"72",4,4,4,4,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",4,2,4,2,0,0
"73",1,4,4,5,"1. Agree strongly","5. Disagree strongly","2. Agree somewhat","4. Disagree somewhat",1,5,2,4,3,1
"74",5,5,4,4,"2. Agree somewhat","1. Agree strongly","4. Disagree somewhat","1. Agree strongly",2,1,4,1,0,0
"75",2,4,6,7,"2. Agree somewhat","2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat",2,2,4,2,2,1
"76",6,6,6,6,"2. Agree somewhat","4. Disagree somewhat","1. Agree strongly","3. Neither agree nor disagree",2,4,1,3,0,0
"77",4,4,2,6,"3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat","4. Disagree somewhat",3,3,4,4,0,4
"78",7,4,5,2,"5. Disagree strongly","2. Agree somewhat","5. Disagree strongly","2. Agree somewhat",5,2,5,2,-3,-3
"79",3,4,3,4,"3. Neither agree nor disagree","4. Disagree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree",3,4,3,3,1,1
"80",1,5,2,5,"1. Agree strongly","1. Agree strongly","1. Agree strongly","1. Agree strongly",1,1,1,1,4,3
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,3,1,2,"2. Agree somewhat","2. Agree somewhat","2. Agree somewhat","2. Agree somewhat",2,2,2,2,2,1
"83",7,3,4,5,"3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat","2. Agree somewhat",3,5,2,2,-4,1
"84",7,7,1,7,"2. Agree somewhat","1. Agree strongly","1. Agree strongly","1. Agree strongly",2,1,1,1,0,6
"85",2,2,4,4,"5. Disagree strongly","4. Disagree somewhat","5. Disagree strongly","1. Agree strongly",5,4,5,1,0,0
"86",4,4,2,2,"4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat","4. Disagree somewhat",4,2,4,4,0,0
"87",4,4,3,6,"2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat","4. Disagree somewhat",2,3,2,4,0,3
"88",4,4,2,4,"2. Agree somewhat","2. Agree somewhat","4. Disagree somewhat","4. Disagree somewhat",2,2,4,4,0,2
"89",2,1,1,3,"1. Agree strongly","2. Agree somewhat","2. Agree somewhat","4. Disagree somewhat",1,2,2,4,-1,2
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",3,5,5,2,"1. Agree strongly","3. Neither agree nor disagree","2. Agree somewhat","5. Disagree strongly",1,3,2,5,2,-3
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1,1,2,4,"3. Neither agree nor disagree","2. Agree somewhat","3. Neither agree nor disagree","2. Agree somewhat",3,2,3,2,0,2
"95",4,4,4,5,"2. Agree somewhat","4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat",2,4,3,4,0,1
"96",3,4,2,4,"3. Neither agree nor disagree","4. Disagree somewhat","4. Disagree somewhat","2. Agree somewhat",3,4,4,2,1,2
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",4,3,3,3,"2. Agree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat",2,3,3,4,-1,0
"100",2,5,1,6,"1. Agree strongly","3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat",1,3,3,4,3,5
"101",3,3,3,4,"4. Disagree somewhat","4. Disagree somewhat","4. Disagree somewhat","4. Disagree somewhat",4,4,4,4,0,1
"102",4,5,4,5,"2. Agree somewhat","5. Disagree strongly","2. Agree somewhat","4. Disagree somewhat",2,5,2,4,1,1
"103",2,4,4,5,"2. Agree somewhat","4. Disagree somewhat","4. Disagree somewhat","4. Disagree somewhat",2,4,4,4,2,1
"104",3,1,2,1,"5. Disagree strongly","1. Agree strongly","5. Disagree strongly","1. Agree strongly",5,1,5,1,-2,-1
"105",NA,NA,NA,NA,"1. Agree strongly","5. Disagree strongly","2. Agree somewhat","1. Agree strongly",1,5,2,1,NA,NA
"106",NA,NA,NA,NA,"1. Agree strongly","2. Agree somewhat","1. Agree strongly","1. Agree strongly",1,2,1,1,NA,NA
"107",3,4,4,4,"4. Disagree somewhat","3. Neither agree nor disagree","4. Disagree somewhat","1. Agree strongly",4,3,4,1,1,0
"108",5,5,3,3,"4. Disagree somewhat","3. Neither agree nor disagree","5. Disagree strongly","2. Agree somewhat",4,3,5,2,0,0
"109",5,4,6,4,"2. Agree somewhat","3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat",2,3,3,4,-1,-2
"110",4,4,4,4,"3. Neither agree nor disagree","4. Disagree somewhat","4. Disagree somewhat","2. Agree somewhat",3,4,4,2,0,0
"111",1,7,1,7,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","5. Disagree strongly",1,5,1,5,6,6
"112",2,6,1,5,"1. Agree strongly","4. Disagree somewhat","1. Agree strongly","2. Agree somewhat",1,4,1,2,4,4
"113",5,3,2,4,"2. Agree somewhat","3. Neither agree nor disagree","4. Disagree somewhat","4. Disagree somewhat",2,3,4,4,-2,2
"114",4,4,4,4,"2. Agree somewhat","4. Disagree somewhat","2. Agree somewhat","4. Disagree somewhat",2,4,2,4,0,0
"115",4,5,4,4,"3. Neither agree nor disagree","3. Neither agree nor disagree","4. Disagree somewhat","2. Agree somewhat",3,3,4,2,1,0
"116",NA,NA,NA,NA,"1. Agree strongly","5. Disagree strongly","1. Agree strongly","4. Disagree somewhat",1,5,1,4,NA,NA
"117",4,6,2,5,"2. Agree somewhat","5. Disagree strongly","2. Agree somewhat","4. Disagree somewhat",2,5,2,4,2,3
"118",5,5,4,3,"3. Neither agree nor disagree","3. Neither agree nor disagree","3. Neither agree nor disagree","2. Agree somewhat",3,3,3,2,0,-1
"119",1,5,3,7,"1. Agree strongly","3. Neither agree nor disagree","1. Agree strongly","1. Agree strongly",1,3,1,1,4,4
