id,mp12a,mp12b,mp12c,mp12d,mp12e,mp12f
476,1,3,3,3,2,3
477,1,3,1,3,1,3
478,3,3,3,3,3,3
479,1,3,1,3,3,3
480,1,1,3,1,1,1
481,3,3,1,3,3,3
482,3,3,3,3,3,3
483,1,3,3,1,3,1
484,1,1,3,1,1,1
485,1,1,3,1,1,1
486,3,3,1,3,3,3
487,1,1,3,1,1,1
488,3,3,3,3,3,3
489,2,3,3,1,2,3
490,1,3,3,3,1,3
491,3,3,3,3,3,3
492,1,1,3,1,1,1
493,1,1,3,1,1,1
494,1,3,3,3,2,1
495,3,3,3,3,3,3
496,1,3,3,2,1,3
497,1,1,3,3,1,3
498,3,3,3,3,3,3
499,3,3,2,3,1,3
500,3,3,3,3,3,3
501,1,3,1,3,2,3
502,3,3,3,3,2,3
503,1,3,3,1,1,1
504,3,3,3,3,2,3
505,3,3,3,3,2,3
506,1,2,3,3,3,3
507,1,1,3,1,1,1
508,3,3,1,3,3,3
509,1,1,3,1,1,1
510,1,3,3,3,1,2
511,3,3,3,3,3,3
512,1,1,3,3,3,3
513,2,2,2,2,3,3
514,1,1,3,3,3,3
515,2,3,3,3,3,3
516,1,1,3,3,1,2
517,1,3,1,3,2,2
518,1,1,1,1,1,3
519,3,3,1,3,3,3
520,3,3,3,3,3,3
521,2,3,3,3,1,2
522,1,1,3,2,1,1
523,1,2,3,1,1,2
524,3,3,3,3,3,3
525,1,1,3,3,1,1
526,1,1,3,1,1,3
527,1,3,3,3,3,3
528,1,1,3,3,2,3
529,1,2,3,2,1,1
530,3,3,1,3,2,3
531,1,3,1,3,1,3
532,1,1,3,3,1,1
533,1,1,3,1,1,1
534,1,1,3,3,3,1
535,1,3,3,3,3,3
536,3,3,3,3,2,3
537,1,3,1,3,3,3
538,1,3,1,1,2,3
539,3,3,1,3,3,3
540,1,3,3,2,3,3
541,1,1,3,1,3,3
542,1,1,3,3,3,3
543,1,1,1,2,3,3
544,1,2,2,3,3,3
545,3,3,3,3,3,3
546,2,2,2,2,2,2
547,1,3,1,3,3,3
548,3,3,2,3,3,3
549,3,3,1,3,3,3
550,3,3,3,2,2,3
551,3,3,3,3,3,3
552,1,1,3,1,3,3
553,1,1,1,1,2,3
554,1,1,3,1,1,1
555,1,1,1,3,1,3
556,3,3,3,3,3,3
557,1,1,1,3,3,3
558,1,3,3,2,3,2
559,2,1,3,2,2,3
560,1,3,3,3,3,3
561,3,3,1,3,3,3
562,3,3,1,3,3,3
563,1,1,1,3,3,3
564,1,1,3,3,2,3
565,1,1,3,1,1,3
566,1,3,1,2,2,3
567,1,1,1,1,3,3
568,2,2,2,2,2,3
569,2,2,3,3,3,3
570,1,1,3,2,3,3
571,1,1,1,3,3,3
572,3,3,3,3,3,3
573,1,1,3,1,1,1
574,1,3,1,3,3,3
575,1,1,1,1,1,3
576,2,3,1,3,3,3
577,1,1,1,1,1,1
578,1,1,3,3,3,3
579,1,1,3,1,2,2
580,1,1,1,1,1,1
581,1,2,2,1,3,2
582,1,1,3,3,3,3
583,1,3,3,3,3,3
584,1,1,1,1,3,1
585,1,2,2,1,1,1
586,1,1,3,1,1,3
587,1,3,3,3,1,3
588,2,3,2,2,3,3
589,1,1,1,1,1,2
590,2,3,2,2,3,3
591,1,1,3,3,3,1
592,1,1,3,3,1,3
593,3,3,3,3,3,3
594,3,3,3,3,3,3
595,1,1,2,3,3,3
596,1,1,1,3,2,3
597,1,1,2,3,3,3
598,1,3,3,1,1,1
599,1,3,3,3,3,3
600,1,1,3,1,1,1
601,1,3,1,3,1,3
602,1,1,1,1,3,3
603,1,2,3,3,3,3
604,1,1,3,3,1,1
605,1,1,1,3,3,3
606,3,3,3,3,3,3
607,1,1,3,1,1,3
608,3,3,3,3,3,3
609,1,1,1,3,3,3
610,3,3,3,3,3,3
611,3,1,1,3,3,3
612,3,3,3,3,3,3
613,1,1,3,1,2,3
614,1,3,3,1,1,1
615,1,1,1,3,3,3
616,3,3,1,1,3,3
617,3,3,3,3,3,3
618,1,1,1,1,2,2
619,1,3,3,3,3,3
620,3,3,1,2,3,3
621,1,3,1,3,2,3
622,1,1,1,2,3,3
623,1,2,1,2,1,3
624,3,3,1,3,3,3
625,1,1,3,3,3,3
626,1,1,3,3,1,3
627,1,3,3,1,2,1
628,1,3,3,3,1,3
629,1,1,3,3,1,3
630,1,1,3,3,1,3
631,3,3,1,3,3,3
632,3,3,1,3,3,3
633,1,1,3,1,1,1
634,1,3,1,3,2,3
635,1,1,3,3,1,1
636,3,3,3,3,1,3
637,2,2,2,2,2,3
638,1,1,3,3,1,3
639,1,1,3,1,1,1
640,1,3,3,3,1,3
641,3,3,3,3,1,3
642,1,2,3,1,2,1
643,2,3,2,3,3,3
644,1,3,3,3,3,1
645,1,1,1,1,3,1
646,1,1,3,1,1,1
